 H V C R G B
481 7.5R 0.6 4 47.72080742763823 1.6167932020363591 17.586805595489558
485 10R 0.6 2 38.26368358837966 11.233458488259464 15.929323339491214
486 10R 0.6 4 48.2897848010099 1.6101340814281517 12.837892679845062
490 2.5YR 0.6 2 38.19663221750462 11.80881238193081 11.311076414414948
491 2.5YR 0.6 4 49.1273094813756 1.635892355414915 3.373864382364596
495 5YR 0.6 2 37.805362092668666 12.630055917513216 5.5569213401934565
499 7.5YR 0.6 2 37.104403300779964 13.470183634241588 1.7227970287073016
508 10Y 0.8 2 26.995993458394455 25.010647100231896 6.557299278036165
510 2.5GY 0.8 2 24.21706059181789 25.59406125127156 11.462609584442921
512 5GY 0.8 2 21.262717569176267 26.18306602490203 14.757491007787493
515 7.5GY 0.8 2 18.705603326180523 26.58719023224471 17.628893174293935
519 10GY 0.8 2 16.625859557566134 26.86259298511359 19.775057108215044
523 2.5G 0.8 2 15.082999180127183 27.03338928363997 21.332423152899437
527 5G 0.8 2 14.159572964412755 27.10269877877494 22.48373869445154
531 7.5G 0.8 2 12.869175611023056 27.216539780901027 23.681701161712777
535 10G 0.8 2 11.84145959937723 27.265336428382327 24.93904319877031
539 2.5BG 0.8 2 9.60138363309399 27.395433150731886 26.962295062862644
543 5BG 0.8 2 7.43544913612574 27.448834436629298 29.34978350843474
547 7.5BG 0.8 2 5.666817427200005 27.396421178752227 32.002729948733815
551 10BG 0.8 2 4.930237680788581 27.227736570269023 34.23765779996317
555 2.5B 0.8 2 4.879568380609601 27.0723810473571 35.50267322802522
559 5B 0.8 2 5.8507693494977 26.691668700844392 37.302096999429715
563 7.5B 0.8 2 8.161621522019287 26.19455124782119 38.46017470083121
568 10B 0.8 2 10.46450333739432 25.699044950664575 39.520564814969475
573 2.5PB 0.8 2 12.979307620016495 25.145208565090748 40.4292331747417
579 5PB 0.8 2 17.69256814323837 24.05139284839307 41.27039638268041
580 5PB 0.8 4 6.893899376896537 23.823828640847207 52.50556721697064
589 7.5PB 0.8 2 22.585775556725725 22.73051937284929 41.496910214846174
590 7.5PB 0.8 4 20.708550446244892 20.98869104404526 52.32267079098602
591 7.5PB 0.8 6 19.043054672059146 18.275649243498496 63.326302156168374
592 7.5PB 0.8 8 17.183796576904776 14.704603628012958 73.581082812257
593 7.5PB 0.8 10 14.877286535255024 11.45641652395106 80.89635960936147
594 7.5PB 0.8 12 13.592443324733798 4.265301908533329 91.28592004727129
607 10PB 0.8 2 27.18888569421433 21.276743409804332 41.11284612277411
608 10PB 0.8 4 29.658936177365213 17.971645555996577 51.15938614253378
609 10PB 0.8 6 32.50307372341664 13.559217281378087 59.928324976558585
610 10PB 0.8 8 35.81724241869285 6.838749712328567 68.44274611587836
611 10PB 0.8 10 38.56227173271784 0.7017862443896699 74.77702113271768
625 2.5P 0.8 2 30.347812877744264 20.169988067962475 40.325331068204285
626 2.5P 0.8 4 34.84863360740327 15.77831247718541 49.30139208401727
627 2.5P 0.8 6 38.67936601328346 10.352569009031203 56.776534739105045
628 2.5P 0.8 8 42.74222253590535 2.857434693919983 64.24542578269354
643 5P 0.8 2 32.96403816584745 19.2353010334174 39.01019186470334
644 5P 0.8 4 38.33834586778479 14.075260791324107 47.390824158556725
645 5P 0.8 6 43.060068812511666 7.525820110335095 53.83300303758028
658 7.5P 0.8 2 34.74495523897091 18.56856405233469 37.83621918710813
659 7.5P 0.8 4 40.56937310582836 12.911028700991963 45.693862174869615
660 7.5P 0.8 6 45.25958221170855 6.092768742753851 51.894318799854226
671 10P 0.8 2 35.66427560096308 18.267203523770895 36.854617766929415
672 10P 0.8 4 42.0104197740335 12.18634335375002 44.16549884390796
673 10P 0.8 6 47.01158625231135 5.071192509592587 49.77390556144752
683 2.5RP 0.8 2 36.87658224043378 17.793227274900044 35.78544218125413
684 2.5RP 0.8 4 43.86148575068122 11.089599540223274 42.28663838881026
685 2.5RP 0.8 6 49.29648114274754 3.375176816628579 47.51421738998998
694 5RP 0.8 2 38.256515464508475 17.293050247853717 34.09378395308878
695 5RP 0.8 4 45.49929059810127 10.368636800600564 39.32638874508681
696 5RP 0.8 6 51.62156922365721 1.934847000673737 43.884704333892834
704 7.5RP 0.8 2 39.382929654464824 16.919239252077357 32.27714983084144
705 7.5RP 0.8 4 47.06440554763594 9.550284225940091 36.40396822427208
706 7.5RP 0.8 6 53.87220093685787 0.33085867907999145 40.28225523652341
712 10RP 0.8 2 40.29939968270668 16.69057809712723 30.156076449196668
713 10RP 0.8 4 48.397192735912796 8.955954321479998 33.132834030887565
719 2.5R 0.8 2 41.14133785464684 16.49737279167554 27.872576340201764
720 2.5R 0.8 4 49.75656628185745 8.309138439827736 29.40690763792887
726 5R 0.8 2 41.80300920328423 16.457738256955057 25.110252714515916
727 5R 0.8 4 50.90243808949423 7.805384410112645 25.4932311838044
732 7.5R 0.8 2 42.01684923543558 16.59128390249645 23.06244694103452
733 7.5R 0.8 4 51.8156274936774 7.407485292999998 21.7765022115475
738 10R 0.8 2 42.10663148196597 16.80371207355559 20.88538761987204
739 10R 0.8 4 52.396213841842275 7.469941500097303 16.93635155676079
744 2.5YR 0.8 2 42.053619835565875 17.308172114821723 16.575775837758723
745 2.5YR 0.8 4 52.98382069235742 7.815579847370912 7.733560121450913
750 5YR 0.8 2 41.23837828578689 18.24675479076396 11.801142437683755
754 7.5YR 0.8 2 40.2082907447041 19.15636802542368 7.617031512038863
757 10YR 0.8 2 38.71981820537422 20.208573235978598 4.316550378804369
759 2.5Y 0.8 2 36.38459771403244 21.565034319120638 1.6842082930920288
761 5Y 0.8 2 33.74791142513498 22.802634281905345 1.0277959239452887
763 7.5Y 0.8 2 30.37826213546712 24.04265709445096 2.8620318689400017
765 10Y 1.0 2 31.337165619010477 29.0946443509654 13.403470551986105
767 2.5GY 1.0 2 28.36272326483447 29.792173155120487 16.839976422409077
770 5GY 1.0 2 26.18979745119973 30.225242204467772 19.269811237355576
773 7.5GY 1.0 2 23.561781727244306 30.66816290915122 22.137910806934034
774 7.5GY 1.0 4 8.456388070724191 34.01560911415572 4.807078544142384
777 10GY 1.0 2 21.53209985764123 30.950048375023485 24.342094225758082
778 10GY 1.0 4 0.8118194495525259 34.54049796461662 13.21243569142401
782 2.5G 1.0 2 20.133674256623753 31.11571297855586 25.845740966039298
787 5G 1.0 2 18.909984952224864 31.25048242731016 27.057486213532545
792 7.5G 1.0 2 17.742406045234333 31.348675742705417 28.37230445184443
797 10G 1.0 2 16.602372375530603 31.43179316753939 29.62463681445521
802 2.5BG 1.0 2 15.19930659418225 31.482439798222295 31.473596976233736
807 5BG 1.0 2 13.583868586511482 31.490241413755527 33.77529207780961
812 7.5BG 1.0 2 12.489945277601018 31.443909556963625 35.606578152121976
816 10BG 1.0 2 11.713827283363203 31.293556489941107 37.78432543380824
820 2.5B 1.0 2 11.520113757648414 31.123820924733938 39.35428693441399
824 5B 1.0 2 11.822991215990156 30.870710097699288 40.9746695829733
829 7.5B 1.0 2 13.570784378935482 30.41896275975859 42.41872405535993
834 10B 1.0 2 15.928961796367656 29.85167945372717 43.68023068408217
839 2.5PB 1.0 2 19.238433907951823 29.088616408657685 44.56224002008471
840 2.5PB 1.0 4 2.3993769096829043 29.596433927782513 56.0797030614489
846 5PB 1.0 2 22.562409217952737 28.259593067918942 45.08766580206737
847 5PB 1.0 4 12.582067987301002 28.145970513420494 56.47216333955549
868 7.5PB 1.0 2 27.37498720260864 26.888376626044273 45.47397614223412
869 7.5PB 1.0 4 25.062179821452467 25.408726659744158 56.42603174574365
870 7.5PB 1.0 6 23.13111287891032 22.93315959776275 67.90395859953802
871 7.5PB 1.0 8 23.39396529623174 19.053573299423626 78.38673921698765
872 7.5PB 1.0 10 25.20400542705058 13.65981504197432 87.46477478996812
873 7.5PB 1.0 12 27.990573593388074 5.376869974776115 96.10962296895705
892 10PB 1.0 2 31.53291418235085 25.53280912617929 45.345818668840614
893 10PB 1.0 4 33.10655800822583 22.869802518311708 55.154199755770485
894 10PB 1.0 6 35.08132027873291 19.112209473949196 65.00738121057579
895 10PB 1.0 8 37.56077137049103 14.236180013512017 73.35793240876792
896 10PB 1.0 10 40.83781407530093 6.215892267854234 81.85604605429586
916 2.5P 1.0 2 34.612362946984064 24.508452849009014 44.42195025067197
917 2.5P 1.0 4 38.3019620827539 20.941006939166744 53.1094155705972
918 2.5P 1.0 6 42.16725072500427 16.192964668196826 61.095017780712176
